Frame,Time (ns),RMSD_PTC
133.0,133.0000043689889,1.3061245401091406
134.0,134.00000440183845,1.2395251877233349
135.0,135.00000443468798,1.2764314478490473
136.0,136.00000446753754,1.2845979613483398
137.0,137.00000450038706,1.2370082687092159
138.0,138.00000453323662,1.2854315243952006
139.0,139.00000456608615,1.2956392182882055
140.0,140.0000045989357,1.2121978477707034
141.0,141.00000463178523,1.3089814907865165
142.0,142.00000466463476,1.1935952550315962
143.0,143.00000469748431,1.3351220729602102
144.0,144.00000473033384,1.2582531736111033
145.0,145.0000047631834,1.293330786984075
146.0,146.00000479603293,1.264647605211907
147.0,147.00000482888248,1.318953625368359
148.0,148.000004861732,1.2583016979326933
149.0,149.00000489458156,1.2406612379158253
150.0,150.0000049274311,1.299560986541763
151.0,151.00000496028065,1.2724360135515689
152.0,152.00000499313018,1.24290416880704
